ИНН,Название,Тип (ЮЛ/ИП),Статус,"Выручка 2023, руб","Выручка 2024, руб","Выручка 2025, руб",Рост %,Флаг роста,"Прибыль 2025, руб",Гендир,Должность,ОКВЭД основной,ОКВЭД доп,Телефон,Email,Сайт,Источник (1С/Битрикс),Сумма продаж у нас,Дата последней продажи
9729314227,"ООО ""КРЕТЕХ""",ЮЛ,Действующая,18000.0,3000.0,83466000.0,2782100.0,растёт,-43025000.0,Заборовский Павел Юрьевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,56.10,,,,,Компании,,
1001346469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РАВНОВЕСИЕ""",ЮЛ,Действующая,1800000.0,71000.0,845533000.0,1190791.5,растёт,1205000.0,Белуга Леонид Леонтьевич,ДИРЕКТОР,41.20,,,,,1С,,
5003134717,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАУКЛАСТЕР""",ЮЛ,Действующая,7899000.0,6000.0,44904000.0,748300.0,растёт,1482000.0,Поливанов Семен Михайлович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,52.10,,,,,1С,,
7743339195,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТЛАНТ ИНВЕСТИЦИИ""",ЮЛ,Действующая,37972000.0,50000.0,144298000.0,288496.0,растёт,75390000.0,Невский Георгий Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,68.10.1,,,,,1С,,
5001148746,"ООО ""ТЕХНОВИКИНГ""",ЮЛ,Действующая,,21825000.0,14246163000.0,65174.5,растёт,58289000.0,Проскурякова Татьяна Николаевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,68.32,,,,,1С+Компании,,
6949113094,"ООО ""ЗАВИДОВО ПАРК""",ЮЛ,Действующая,493000.0,342000.0,181369000.0,52931.9,растёт,-627724000.0,Заболотский Дмитрий Николаевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,55.10,,,,,1С,,
7728623719,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ""БИОНИКА""",ЮЛ,Действующая,50595000.0,161000.0,70269000.0,43545.3,растёт,19368000.0,Шумилина Ирина Владимировна,ДИРЕКТОР,59.11,,,,,1С,,
5005065258,"ООО ""САНТАРА""",ЮЛ,Действующая,1893000.0,1700000.0,690259000.0,40503.5,растёт,48723000.0,Щукина Доминика Алексеевна,ДИРЕКТОР,46.69,,,,,1С,,
5027141390,"ООО ""АВТОМАШ-СЕРВИС""",ЮЛ,Ликвидация,774000.0,16000.0,4424000.0,27550.0,растёт,386000.0,Тинчурин Андрей Викторович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,45.2,,,,,1С+Компании,,
9705151693,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОФЕ СПЭЙС""",ЮЛ,Действующая,2191000.0,352000.0,73164000.0,20685.2,растёт,6292000.0,Чернуха Анна Вячеславовна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,56.10,,,,,1С,,
9718051907,"ООО ""СПУТНИК""",ЮЛ,Действующая,16695000.0,952000.0,195208000.0,20405.0,растёт,6314000.0,Минина Наталия Сергеевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,53.20.3,,,,,Компании,1660.0,2020/11/05 14:22:00
5056002739,"""БАЗИС КО"" ООО",ЮЛ,Действующая,0.0,412000.0,78141000.0,18866.3,растёт,1721000.0,Силин Евгений Олегович,ДИРЕКТОР,45.31.1,,,,,Компании,,
7813453190,Концерн «Инновационные Технологии»,ЮЛ,Действующая,27942000.0,10234000.0,1846838000.0,17946.1,растёт,262556000.0,Мягкова Анна Анатольевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,77.40,,,,,1С+Компании,,
9703144010,"ООО ""ГК АВАНТИ""",ЮЛ,Действующая,15600000.0,40773000.0,3700211000.0,8975.2,растёт,1454837000.0,Кострица Олег Иванович,ДИРЕКТОР ПО ЗАЩИТЕ ГОСУДАРСТВЕННОЙ ТАЙНЫ,72.19,,,,,1С,,
7714489559,"ООО ""ПЛАТФОРМА""",ЮЛ,Действующая,288000.0,1409000.0,97844000.0,6844.2,растёт,1302000.0,Дьяконов Андрей Валерьевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,70.22,,,,,Компании,,
5029179208,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЛК""",ЮЛ,Действующая,150532000.0,2760000.0,182294000.0,6504.9,растёт,5719000.0,Низамов Илвард Фаритович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,41.20,,,,,1С,,
9705085585,"ООО ""КИТТОК""",ЮЛ,Действующая,843000.0,90000.0,4907000.0,5352.2,растёт,997000.0,Шапиев Руслан Гаджикурбанович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,68.20,,,,,1С,,
1001339944,Дмитриев Степан,ЮЛ,Действующая,2447000.0,696000.0,34498000.0,4856.6,растёт,15291000.0,Дмитриев Степан Андреевич,ДИРЕКТОР,46.43,,,,,1С+Компании,0.0,2020/06/08 20:19:00
9705067032,ФАРИНАРИ,ЮЛ,Действующая,5715000.0,50000.0,2413000.0,4726.0,растёт,145000.0,Алексанян Артак Генрикович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,56.10,,,,,1С+Компании,,
8901017773,СТРОИТЕЛЬ,ЮЛ,Действующая,182889000.0,11998000.0,566174000.0,4618.9,растёт,164214000.0,Дробот Андрей Анатольевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,41.2,,,,,1С+Компании,,
7709958156,АХИМСА,ЮЛ,Действующая,0.0,2024000.0,87833000.0,4239.6,растёт,9612000.0,Смирнов Ярослав Николаевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,47.11,,,,,1С+Компании,,
7840115680,"ООО ""ВКУСНО/ДОРОГО""",ЮЛ,Действующая,,1073000.0,44840000.0,4078.9,растёт,-33449000.0,Глухов Григорий Максимович,ДИРЕКТОР,56.10.1,,,,,1С+Компании,,
5907043284,"ООО ""ПРОМТЕХ""",ЮЛ,Действующая,6368000.0,706000.0,22677000.0,3112.0,растёт,15000.0,Рябов Артем Сергеевич,ДИРЕКТОР,46.90,,,,,Компании,,
5038165480,"ООО ""ПРОДУКТЫ ДЛЯ ЖИЗНИ""",ЮЛ,Действующая,,12278000.0,340581000.0,2673.9,растёт,-66152000.0,Машенцев Юрий Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,56.10,,,,,Компании,,
